home_team,away_team,commence_time,ou,consensus,line,stuck,dave,
Atlanta Falcons,Chicago Bears,2022-11-20T18:00:00Z,48.5,,,under. 49.5,,
Baltimore Ravens,Carolina Panthers,2022-11-20T18:00:00Z,41.25,,,,,carolina teaser
Buffalo Bills,Cleveland Browns,2022-11-20T18:00:00Z,50,,BROWNS,,BROWNS,
Houston Texans,Washington Commanders,2022-11-20T18:00:00Z,41.25,HOU,HOU,hou,HOU,teaser
Indianapolis Colts,Philadelphia Eagles,2022-11-20T18:00:00Z,45,IND,IND,ind,IND,
New England Patriots,New York Jets,2022-11-20T18:00:00Z,38.25,PATS,PATS,,PATS,
New Orleans Saints,Los Angeles Rams,2022-11-20T18:00:00Z,39.25,,,,,under
New York Giants,Detroit Lions,2022-11-20T18:00:00Z,44.75,,,,,
Denver Broncos,Las Vegas Raiders,2022-11-20T21:05:00Z,41.5,,,,,
Minnesota Vikings,Dallas Cowboys,2022-11-20T21:25:00Z,48.5,DALLAS,DALLAS,dallas,DALLAS,
Pittsburgh Steelers,Cincinnati Bengals,2022-11-20T21:25:00Z,39.75,PITT,PITT,,PITT,
Los Angeles Chargers,Kansas City Chiefs,2022-11-21T01:20:00Z,52.666667,LAC,LAC,lac,LAC,
